NORAD_CAT_ID,OBJECT_NAME,EPOCH,BSTAR,INCLINATION,RA_OF_ASC_NODE,ECCENTRICITY,ARG_OF_PERICENTER,MEAN_ANOMALY,MEAN_MOTION,SOURCE_URL,RETRIEVED_AT
22675,COSMOS 2251,2026-08-25T21:51:21.292704,2.6262505e-05,74.0382,207.8041,0.0025743,231.876,128.0071,14.33266471,CelesTrak (Manual Download),20260826T042208Z
33757,COSMOS 2251 DEB,2026-08-25T10:00:30.691296,2.7565614e-05,74.035,216.8395,0.00146754,177.1254,337.4359,14.32634931,CelesTrak (Manual Download),20260826T042208Z
33758,COSMOS 2251 DEB,2026-08-25T07:10:30.176832,0.00047599,74.0254,92.9699,0.0016217,102.5155,18.4173,14.53109757,CelesTrak (Manual Download),20260826T042208Z
33760,COSMOS 2251 DEB,2026-08-25T07:09:47.488320,5.8185e-05,74.0325,172.3782,0.0021179,214.8933,300.6733,14.35805653,CelesTrak (Manual Download),20260826T042208Z
33761,COSMOS 2251 DEB,2026-08-25T03:42:18.932256,0.0002093358,74.0359,138.0017,0.00228329,162.4455,348.5127,14.43154137,CelesTrak (Manual Download),20260826T042208Z
33762,COSMOS 2251 DEB,2026-08-25T16:18:06.361920,3.0716332e-05,74.0407,202.0844,0.00158391,209.4321,326.0507,14.33729401,CelesTrak (Manual Download),20260826T042208Z
33764,COSMOS 2251 DEB,2026-08-25T13:08:10.023936,0.00019362475,74.0341,160.1011,0.00208174,60.9784,111.5459,14.39949855,CelesTrak (Manual Download),20260826T042208Z
33765,COSMOS 2251 DEB,2026-08-25T09:01:57.196416,0.0018094991,74.0006,356.5781,0.00468452,18.3702,341.9178,15.28984008,CelesTrak (Manual Download),20260826T042208Z
33766,COSMOS 2251 DEB,2026-08-25T19:20:18.109824,0.000425162,74.1864,29.6601,0.00626995,160.3476,200.0116,14.35647595,CelesTrak (Manual Download),20260826T042208Z
33768,COSMOS 2251 DEB,2026-08-25T18:47:30.156288,6.8694634e-05,74.07,166.5312,0.03675089,267.4973,116.7692,13.58637224,CelesTrak (Manual Download),20260826T042208Z
33779,COSMOS 2251 DEB,2026-08-25T16:41:58.828992,0.00042077009,74.0435,31.9248,0.00151332,10.3668,2.887,14.7574599,CelesTrak (Manual Download),20260826T042208Z
33782,COSMOS 2251 DEB,2026-08-25T06:24:05.312160,0.00026757,74.0335,164.7182,0.002065,175.5258,338.0327,14.41011257,CelesTrak (Manual Download),20260826T042208Z
33785,COSMOS 2251 DEB,2026-08-25T13:33:51.024960,0.00050238,73.8635,276.1319,0.0016111,172.7867,339.1182,14.75290567,CelesTrak (Manual Download),20260826T042208Z
33789,COSMOS 2251 DEB,2026-08-25T16:22:43.844160,9.9790877e-05,74.0648,12.8898,0.02397454,68.4935,305.2303,13.89104389,CelesTrak (Manual Download),20260826T042208Z
33791,COSMOS 2251 DEB,2026-08-25T14:08:58.432416,0.00037198,74.1723,285.9389,0.0027918,39.4707,119.9897,14.44193235,CelesTrak (Manual Download),20260826T042208Z
33792,COSMOS 2251 DEB,2026-08-25T15:12:39.222720,0.00046733,73.8995,296.4908,0.0431694,315.8564,198.9384,13.4620832,CelesTrak (Manual Download),20260826T042208Z
33793,COSMOS 2251 DEB,2026-08-25T10:34:45.273792,0.00049070559,73.9802,44.8591,0.00772294,136.9906,251.8437,14.28436785,CelesTrak (Manual Download),20260826T042208Z
33795,COSMOS 2251 DEB,2026-08-25T08:24:46.501344,0.00096797446,74.0435,267.3955,0.0030753,288.0773,84.2842,15.17832895,CelesTrak (Manual Download),20260826T042208Z
33797,COSMOS 2251 DEB,2026-08-25T09:22:15.168576,0.00023055405,74.0441,268.6392,0.00635021,290.6482,80.1159,14.58817017,CelesTrak (Manual Download),20260826T042208Z
33798,COSMOS 2251 DEB,2026-08-25T09:51:53.637408,9.7690261e-05,74.0301,19.5751,0.00902124,77.7833,314.3699,14.44848555,CelesTrak (Manual Download),20260826T042208Z
33799,COSMOS 2251 DEB,2026-08-25T14:08:49.528896,0.0012263,74.0327,295.2085,0.0025929,304.4369,206.0874,14.8612911,CelesTrak (Manual Download),20260826T042208Z
33805,COSMOS 2251 DEB,2026-08-25T07:36:02.652768,0.00019295101,74.0307,184.898,0.00618236,307.383,52.1714,14.58387966,CelesTrak (Manual Download),20260826T042208Z
33811,COSMOS 2251 DEB,2026-08-25T09:41:56.153760,0.0013896611,73.8258,127.7484,0.00310639,161.6465,315.1475,15.1585431,CelesTrak (Manual Download),20260826T042208Z
